Artist,Streams,Dancebility,Valence,Energy,Acousticness,Instrumentalness,Liveness,Speechiness
Edison Lighthouse,0,53.0,75.0,69.0,7.0,0.0,17.0,3.0
"El Chachito, Junior H",198275403,70.0,77.0,48.0,37.0,0.0,12.0,5.0
Elley Duhï¿,872137015,41.0,9.0,61.0,2.0,0.0,12.0,5.0
"Elton John, Britney Spears",284216603,67.0,49.0,77.0,11.0,0.0,19.0,11.0
Em Beihold,258714692,74.0,61.0,52.0,30.0,0.0,26.0,9.0
"Em Beihold, Stephen Sanchez",600976848,34.0,32.0,57.0,78.0,0.0,20.0,3.0
Eminem,6183805596,79.75,43.75,68.0,6.25,0.0,22.25,17.25
"Eminem, Dido",918915401,78.0,53.0,74.0,4.0,0.0,45.0,21.0
"Eminem, Dina Rae",655466831,80.0,64.0,76.0,2.0,0.0,20.0,6.0
"Eminem, Dr. Dre",739827412,92.5,61.5,80.0,10.0,0.0,20.5,16.0
"Eminem, Nate Dogg",1695712020,55.0,10.0,85.0,7.0,0.0,8.0,20.0
Emmy Meli,225259194,65.0,46.0,47.0,12.0,0.0,13.0,16.0
"Eslabon Armado, Peso Pluma",725980112,67.0,83.0,76.0,48.0,0.0,8.0,3.0
Farruko,1309887447,76.0,44.0,77.0,1.0,0.0,13.0,3.0
Feid,2220740399,73.0,59.875,63.375,10.0,0.0,19.375,11.375
"Feid, Alejo, Robi",273005485,83.0,63.0,74.0,14.0,0.0,16.0,6.0
"Feid, Mora",477033549,76.0,46.0,79.0,31.0,0.0,7.0,6.0
"Feid, Mora, Saiko, Quevedo",57312735,62.0,55.0,80.0,15.0,0.0,37.0,7.0
"Feid, Myke Towers, Sky Rompiendo",107753850,72.0,17.0,64.0,7.0,0.0,10.0,5.0
"Feid, Paulo Londra",73513683,80.0,81.0,67.0,4.0,0.0,8.0,6.0
"Feid, Sech, Jhayco",133895612,82.0,67.0,77.0,8.0,0.0,12.0,5.0
"Feid, Young Miko",335222234,86.0,67.0,66.0,14.0,0.0,12.0,16.0
Fifty Fifty,636477650,77.5,85.0,62.5,54.0,0.0,36.0,3.0
"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",159240673,84.0,43.0,75.0,5.0,0.0,6.0,8.0
Frank Ocean,1628636796,72.5,51.5,58.0,35.0,0.0,29.5,16.5
Frank Sinatra,178660459,51.0,94.0,34.0,73.0,0.0,10.0,5.0
"Frank Sinatra, B. Swanson Quartet",473248298,60.0,86.0,32.0,88.0,0.0,34.0,6.0
Freddie Dredd,199386237,80.0,46.0,62.0,3.0,6.0,11.0,46.0
Fuerza Regida,254854130,79.0,96.0,85.5,18.0,0.0,10.0,7.5
"Fuerza Regida, Chino Pacas",116334601,70.0,76.0,79.0,26.0,0.0,11.0,7.0
"Fuerza Regida, Grupo Frontera",367316268,54.0,75.0,60.0,30.0,0.0,7.0,5.0
"Fuerza Regida, Natanael Cano",288101651,66.0,85.0,60.0,40.0,0.0,14.0,13.0
"Fuerza Regida, Peso Pluma",158950978,76.0,80.0,81.0,19.0,0.0,6.0,9.0
Fujii Kaze,403097450,60.0,52.0,76.0,17.0,0.0,19.0,5.0
Future,304965349,76.5,44.0,63.0,8.5,0.0,11.5,35.5
"Future, Chris Brown, Metro Boomin",401036314,72.0,45.0,59.0,14.0,0.0,20.0,21.0
"Future, Lil Uzi Vert, Metro Boomin",37126685,77.0,28.0,55.0,18.0,0.0,22.0,15.0
"Future, Metro Boomin, Don Toliver",286400165,68.0,17.0,71.0,15.0,0.0,11.0,5.0
"GODZZ__-, Zakaria",1180896317,81.0,83.0,75.0,14.0,0.0,29.0,34.0
"Gabito Ballesteros, Junior H, Peso Pluma",86444842,65.0,87.0,74.0,22.0,0.0,42.0,4.0
Gayle,1007612429,70.0,42.0,54.0,30.0,0.0,37.0,5.0
Ghost,387080183,47.0,56.0,90.0,0.0,0.0,10.0,4.0
Giveon,951637566,61.0,59.0,46.0,56.0,0.0,13.0,5.0
Glass Animals,2557975762,76.0,53.0,53.0,44.0,0.0,9.0,9.0
"Gorillaz, Bad Bunny",149778242,64.0,30.0,77.0,46.0,0.0,38.0,6.0
"Gotye, Kimbra",1457139296,86.0,75.0,52.0,54.0,0.0,10.0,4.0
Grupo Frontera,404887295,59.0,69.0,53.0,12.0,0.0,23.0,3.0
"Grupo Marca Registrada, Grupo Frontera",147290338,57.0,80.0,59.0,8.0,0.0,6.0,5.0
"Grupo Marca Registrada, Junior H",287278853,79.0,64.0,59.0,28.0,0.0,11.0,14.0
Gunna,95217315,85.0,22.0,62.0,12.0,0.0,28.0,9.0
"Gunna, Lil Baby",54937991,90.0,74.0,54.0,16.0,0.0,13.0,28.0
Guns N' Roses,1553497987,45.0,67.0,90.0,9.0,11.0,10.0,5.0
"Gustavo Mioto, Mari Fernandez",222612678,64.0,61.0,91.0,15.0,0.0,72.0,4.0
"Gwen Stefani, Blake Shelton",180577478,63.0,93.0,88.0,1.0,0.0,12.0,4.0
"HA SUNG WOON, Jimin",240580042,53.0,14.0,43.0,64.0,0.0,13.0,3.0
Halsey,91781263,63.0,29.0,62.0,4.0,0.0,18.0,4.0
"Halsey, BTS",1065580332,65.0,80.0,86.0,9.0,0.0,19.0,10.0
"Halsey, Suga",51985779,43.0,14.0,74.0,1.0,0.0,19.0,8.0
Harry Styles,11608645649,61.35294117647059,54.0,58.88235294117647,42.8235294117647,1.588235294117647,14.294117647058824,5.352941176470588
Hotel Ugly,586967944,56.5,36.5,44.0,31.5,0.0,11.0,10.0
Hozier,2135158446,57.0,41.0,66.0,63.0,0.0,12.0,5.0
INTERWORLD,357580552,59.0,15.0,64.0,43.0,90.0,12.0,10.0
"IU, Agust D",95816024,73.0,44.0,57.0,39.0,0.0,32.0,6.0
IVE,942190597,72.25,57.75,81.0,4.25,0.0,13.75,8.0
Imagine Dragons,5272484650,62.333333333333336,59.0,73.66666666666667,8.666666666666666,0.0,19.333333333333332,7.0
"Imagine Dragons, League of Legends, Arcane",1223481149,73.0,54.0,74.0,23.0,0.0,41.0,23.0
"Imagine Dragons, League of Legends, JID, Arcane",1223481149,72.0,59.0,76.0,24.0,0.0,42.0,28.0
"Intense, AP Dhillon, Gurinder Gill",327498031,84.0,49.0,72.0,8.0,0.0,15.0,8.0
"Interplanetary Criminal, Eliza Rose",244585109,74.0,71.0,89.0,24.0,61.0,15.0,5.0
"Israel & Rodolffo, Ana Castela",263453310,65.0,72.0,95.0,31.0,0.0,92.0,5.0
"Israel & Rodolffo, Mari Fernandez",138517666,63.0,75.0,92.0,31.0,0.0,91.0,5.0
"J Balvin, Bad Bunny",1435127549,75.0,43.0,65.0,15.0,0.0,11.0,32.0
"J Balvin, Maria Becerra",720825549,89.0,77.0,82.0,3.0,0.0,17.0,11.0
"J Balvin, Nio Garcia, Bad Bunny",528544703,74.0,79.0,66.0,11.0,0.0,8.0,16.0
J. Cole,1791000570,70.0,47.0,52.0,30.0,0.0,6.0,33.0
"J. Cole, Lil Durk",144565150,83.0,69.0,44.0,15.0,0.0,10.0,33.0
JISOO,232896922,84.0,64.0,39.0,3.0,0.0,11.0,4.0
JVKE,1097262367,46.5,23.5,51.5,63.5,9.0,16.5,4.5
Jack Black,68216992,71.0,41.0,31.0,79.0,0.0,10.0,5.0
Jack Harlow,1038470158,79.66666666666667,28.0,59.666666666666664,1.0,3.3333333333333335,11.333333333333334,9.0
"Jack Harlow, Lil Nas X",1814349763,74.0,89.0,70.0,2.0,0.0,5.0,6.0
Jain,165484133,82.0,40.0,66.0,39.0,51.0,25.0,7.0
James Arthur,2686344050,37.0,34.5,56.0,36.5,0.0,10.0,4.0
"James Blake, Metro Boomin",39666245,59.0,26.0,60.0,46.0,1.0,25.0,13.0
"James Hype, Miggy Dela Rosa",462791599,84.0,70.0,69.0,1.0,0.0,5.0,5.0
"Jasiel Nuï¿½ï¿½ez, Peso P",129083819,73.5,82.5,65.0,28.5,0.5,13.0,3.5
Jason Derulo,363467642,77.0,51.0,79.0,5.0,0.0,16.0,5.0
Jaymes Young,888046992,67.0,50.0,67.0,15.0,0.0,30.0,4.0
Jessi,136996305,87.0,46.0,60.0,1.0,0.0,13.0,16.0
Jessica Darrow,267758538,65.0,37.0,58.0,2.0,0.0,4.0,31.0
Jimin,705445695,61.333333333333336,41.333333333333336,77.0,4.0,0.0,29.0,4.666666666666667
Jin,203436468,54.0,22.0,76.0,0.0,0.0,14.0,3.0
Jnr Choi,245095641,74.0,39.0,65.0,5.0,1.0,11.0,35.0
John Legend,2086124197,42.0,33.0,26.0,92.0,0.0,13.0,3.0
"John Legend, Metro Boomin",78139948,33.0,51.0,59.0,76.0,0.0,44.0,6.0
"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",460492795,33.0,39.0,61.0,32.0,0.0,77.0,3.0
Joji,2357270185,47.666666666666664,23.333333333333332,44.0,60.333333333333336,4.666666666666667,20.666666666666668,4.333333333333333
